,frequency,amplitude
190,4453.125,-0.32935684305189455
191,4476.5625,-0.32678273935520086
192,4500.0,-0.32415300347909404
193,4523.4375,-0.32146777886972594
194,4546.875,-0.31872721699527795
195,4570.3125,-0.31593147808777045
196,4593.749999999999,-0.3130807319039245
197,4617.187499999999,-0.3101751584837659
198,4640.625000000001,-0.30721494887841017
199,4664.062500000001,-0.30420030581945895
200,4687.5,-0.30113144431538585
201,4710.9375,-0.2980085921897625
202,4734.375,-0.294831990626468
203,4757.8125,-0.29160189485858556
204,4781.25,-0.28831857522322935
205,4804.6875,-0.2849823188862947
206,4828.125,-0.2815934325923663
207,4851.5625,-0.27815224678621414
208,4875.0,-0.2746591213607269
209,4898.4375,-0.27111445310584786
210,4921.875,-0.2675186846811759
211,4945.3125,-0.26387231465142746
212,4968.75,-0.2601759078642148
213,4992.1875,-0.2564301052714205
214,5015.625,-0.25263563224428864
215,5039.0625,-0.248793304529596
216,5062.5,-0.24490403123091897
217,5085.937499999999,-0.24096881453742058
218,5109.374999999999,-0.23698874630454944
219,5132.812500000001,-0.23296500195045133
220,5156.250000000001,-0.2288988324086254
221,5179.6875,-0.22479155502905618
222,5203.125,-0.22064454432987113
223,5226.5625,-0.2164592233800509
224,5250.0,-0.21223705637506401
225,5273.4375,-0.20797954270081376
226,5296.875,-0.2036882125199867
227,5320.3125,-0.19936462370402241
228,5343.75,-0.19501035980191983
229,5367.1875,-0.19062702869142095
230,5390.625000000001,-0.18621626158648164
231,5414.062500000001,-0.1817797121515896
232,5437.500000000001,-0.17731905556805616
233,5460.937500000001,-0.17283598748352824
234,5484.375000000001,-0.16833222283735527
235,5507.812499999999,-0.16380949458646193
236,5531.249999999999,-0.15926955236390766
237,5554.687499999999,-0.15471416109520042
238,5578.124999999999,-0.15014509958548106
239,5601.562499999999,-0.14556415908073062
240,5624.999999999999,-0.14097314180081583
241,5648.4375,-0.13637385944123315
242,5671.875,-0.13176813164225953
243,5695.3125,-0.12715778442751058
244,5718.75,-0.12254464861762537
245,5742.1875,-0.11793055822817528
246,5765.625,-0.11331734886250866
247,5789.0625,-0.10870685610882075
248,5812.5,-0.10410091394553683
249,5835.9375,-0.09950135315170294
250,5859.375,-0.09490999971342207
251,5882.8125,-0.0903286732186811
252,5906.25,-0.08575918524501491
253,5929.6875,-0.0812033377660043
254,5953.125,-0.07666292162518118
255,5976.5625,-0.07213971513396789
256,6000.0,-0.06763548282548665
257,6023.4375,-0.06315197432404979
258,6046.875,-0.05869092316839858
259,6070.3125,-0.054254045270520634
260,6093.75,-0.049843036535041796
261,6117.1875,-0.04545956905435711
262,6140.625000000001,-0.04110528528181179
263,6164.062500000001,-0.03678178970760032
264,6187.5,-0.03249063783208539
265,6210.9375,-0.028233322626710744
266,6234.375,-0.024011259135897856
267,6257.8125,-0.01982576831977345
268,6281.249999999999,-0.015678061573166313
269,6304.687499999999,-0.011569227498773205
270,6328.124999999999,-0.007500222412232915
271,6351.562499999999,-0.00347186571170105
272,6375.000000000001,0.0005151592971132102
273,6398.437500000001,0.004460299176651639
274,6421.875000000001,0.00836311942871304
275,6445.312500000001,0.012223290073495763
276,6468.75,0.01604056925974856
277,6492.1875,0.01981478649247348
278,6515.625,0.023545826890429333
279,6539.0625,0.02723361753003395
280,6562.5,0.030878116480534956
